mic1,mic2,mic3,mic4,mic5,angle
381.03,385.95,376.94,321.06,546.04,8
283,313.78,265.33,239.99,388,9
330.57,369.58,329.96,291.87,442.03,9
427.83,466.6,444.96,356.24,516.84,9
398.99,432.37,427.05,330.78,473.41,9
352.86,368.12,400.49,309.13,417.75,9
325.43,328.14,389.98,272.73,365.76,9
326.18,340.51,366.08,241.78,368.5,9
356.69,382.1,365.33,254.08,392.17,9
366.4,394,383.82,285.12,413.6,9
361.19,388.98,404.22,316.86,446.78,9
327.87,344.53,391.69,314.53,460.51,9
246.89,258.69,304.34,243.52,364.41,9
158.25,167.04,193.49,153.86,221.49,9
100.76,105.11,122.5,95.6,134,9
68.6,68.96,81.62,64.47,85.47,9
52.06,52.24,58.37,48.95,61.1,9
45.58,42.33,46.48,40.84,49.1,9
41,34.04,41.23,36.14,41.64,9
36.22,30.44,38.97,32.25,36.08,9
66.95,62.26,70.54,54.6,62.1,9
123.87,130.51,150.13,100.45,118.71,9
201.15,212.26,237.32,149.96,193.91,10
233.59,229.35,247.93,169.34,237.7,9
216.57,204.32,223.58,158.42,231.87,9
246.42,233.57,265.14,169.46,249.38,9
382,348.28,393.68,274.9,407.22,9
497.71,444.25,532.01,427.47,642.11,9
477.05,439.35,532.72,421.03,643.73,9
386.42,360.53,416.67,301.49,461.46,9
264.54,242.42,285.59,205.63,308,9
383.57,363.66,397.66,331.07,426.33,9
670.65,650.93,677.04,621.97,708.5,9
836.24,825.24,839.34,801.28,855.76,9
779.95,826.08,867.15,804.97,907.51,9
566.97,636.71,668.66,613.02,755.23,9
380.28,413.09,406.58,381.36,479.96,9
297.19,315.27,328.13,287.48,370.25,9
381.49,388.77,424.65,380,501.61,9
517.28,532.32,597.65,558.34,715.75,9
518.34,530.97,604.51,553.4,726.15,9
388.37,385.4,435.02,379.41,530.29,9
340.14,325.2,354.92,315.39,440.74,9
350.83,318.17,331.77,306.6,431.3,9
317.44,276.02,296.74,261.85,358.96,9
357.15,311.15,339.89,294.19,394.6,9
507.93,475.79,489.36,451.88,598.95,10
678.41,672.87,672.54,615.21,788.07,10
771.68,735.81,768.15,658.62,815.29,10
668.32,621.63,687.51,555.53,690.84,11
505.37,490.09,536.9,410.65,555.85,11
449.49,449.64,449.93,330.73,486.83,12
400.25,402,374.66,273.49,417.83,12
376.46,369.49,343.27,257.24,379.66,13
405.17,390.77,379.48,284.62,421.66,13
405.09,385.14,386.9,277.63,415.61,14
349.35,328.42,331.96,226.65,340.73,14
275.79,259.13,268.39,186.65,280.86,14
237.64,225.12,275.14,196.38,275.9,13
225.38,221,306.87,208.63,284.32,14
214.92,217.65,290.91,183.71,260.74,14
180.53,175.51,224.26,137.47,210.42,13
252.71,257.74,294.18,220.2,330.47,14
391.26,415.4,447.57,374.77,530.33,13
394.01,414.97,446.34,372.49,505.07,13
352.89,348.53,390.72,295.04,394.59,14
283.85,267.47,301.44,218.76,295.58,13
292.05,303.34,334.22,253.3,327.1,13
419.44,465.98,507.43,359.54,445.38,14
481.39,542.96,598.31,390.84,489.43,13
504.87,574.3,632.58,454.26,595.84,13
545.09,582.28,610.07,521.07,733.85,14
482.18,480.31,480.47,433.78,636.15,13
371.17,364.94,360.24,297.15,432.88,13
357.94,350.15,333.59,245.44,358.11,13
366.1,358.2,328.29,225.87,325.79,13
300.31,290.45,269.82,180.99,255.61,14
225.34,212.54,207.27,137.96,196.75,14
181.67,168.3,171.04,114.31,167.7,14
131.62,119.87,124.17,81.89,123.38,14
204.48,202.17,196.28,132.15,214.04,14
