mic1,mic2,mic3,mic4,mic5,angle
92.61,93.69,106.48,78.98,100.41,0
68.41,69.46,78.52,59.15,74.63,0
52.68,54.89,60.1,46.41,57.36,0
74.35,75.74,80.13,63.9,84.92,0
140.88,137.78,147.96,117.02,146.39,0
197.83,193.11,215.39,158.37,178.24,0
218.47,212.66,236.24,170.38,194.38,0
219.92,206.85,232.54,174.26,213.08,0
227.85,210.74,247.82,184.42,241.97,0
244.41,225.69,254.84,194.5,257.04,0
206.68,193.09,208.06,165.09,210.65,0
131.29,126.83,135.84,109.35,138.38,0
85.73,84.36,89.06,73.32,90.39,0
60.52,61.48,66.8,52.61,66.06,0
46.17,47.14,53.75,41.8,51.21,0
38.92,39.19,44.54,37.11,42.74,0
34.89,37.18,39.74,33.47,38.32,0
35.18,37.1,41.54,31.1,36.26,0
38.2,38.01,44.87,29.85,35.89,0
37.87,38.72,44.21,28.73,35.23,0
37.69,38.62,46.02,29.81,33.92,0
38.08,39.04,46.73,31.1,33.24,0
35.17,37.35,44.47,30.1,34.8,0
34.61,36.46,42.57,30.29,36.57,0
138.07,125.17,131.71,113.82,159.89,0
275.49,239.84,241.57,227.22,330.15,0
290.8,251.63,254.93,235.24,351.12,0
287.79,259.22,265.72,225.56,351.78,0
366.78,340.39,331.12,261.39,425.75,0
425.93,404.51,392.98,286.54,441.41,0
423.57,402.59,393.7,283.42,417.79,0
374.05,346.13,338.38,263.61,390.4,0
422.08,386.95,376.21,292.96,439.45,0
508.1,459.17,470.3,359.44,555.9,0
424.38,372.79,408,320.5,487.34,0
281.96,248.82,274.61,210.06,311.95,0
183.25,164.76,189.21,146.68,196.99,0
178.35,161.05,189.35,146.12,180.5,0
263.76,252.58,321.14,249.57,315.81,0
354.48,340.04,434.87,367.63,488.26,0
336.32,321.13,390.47,339.36,467.82,0
292.66,279.95,314.46,257.43,363.91,0
290.19,270.89,280.06,224.23,337.9,0
262.37,240.58,244.65,198.07,308.54,0
288.73,262.78,269.44,223.37,324.54,0
341.21,316.91,355.77,318.58,445.48,0
360.95,343.97,398.67,379.98,549.48,0
400.66,388.45,436.36,396.96,560.01,0
384.33,395.88,470.85,376.66,493.07,0
308.15,336.89,420.96,310.6,395.26,0
257.88,285.55,344.96,254.38,344.93,0
243.83,272.14,315.1,236.98,334.93,0
223.59,245.3,273.93,210.93,295.52,0
179.32,192.08,213.01,162.92,228.33,0
146.66,151.64,170.21,128.05,177.73,0
156.38,153.01,165.33,125.88,174.04,0
172.22,160.89,177.12,135.02,186.69,0
185.02,174.33,205.27,156.53,218.63,0
207.24,202.86,252.95,195.24,277.86,0
198.04,193.36,233.37,182.69,269.8,0
151.17,145.38,161.24,127.62,191.96,0
103.04,99.54,107.34,84.53,123.13,0
91.07,92.35,95.46,71.85,100.12,2
119.96,120.15,120.34,91.28,129.94,3
138.39,133.23,141.93,106.45,163.68,4
124.58,123.8,137.66,105.76,171.48,5
116.89,117.68,124.91,105.87,167.43,5
113.6,113.77,108.46,108.08,143.08,6
95.38,99.77,86.96,92.98,111.01,7
168.59,174.95,187.62,151.08,184.16,6
314.37,345.18,360.16,269.85,340.19,5
396.43,452.19,430.61,318.69,389.34,6
365.62,411.46,392.31,288.24,341.37,5
273.29,297.93,302.27,220.47,278.56,5
224.62,230.55,237.12,177.22,235.74,5
220.5,214.27,222.72,177.11,243.99,5
200.9,201.71,211.86,172.04,233.48,6
