mic1,mic2,mic3,mic4,mic5,angle
274.57,274.32,283.30,222.06,275.47,0
516.46,517.53,511.70,408.02,536.30,0
645.81,648.28,633.76,550.97,674.33,0
824.24,825.53,817.95,769.48,838.17,0
916.88,918.27,914.07,887.82,923.43,0
960.68,935.11,963.52,948.87,967.69,0
861.39,805.25,863.11,838.49,891.58,0
707.01,642.57,693.33,660.40,798.79,0
745.49,686.05,730.46,702.52,849.57,0
871.48,834.24,867.22,843.55,929.62,0
876.75,853.73,880.50,838.27,922.87,0
798.94,778.55,817.15,739.17,861.25,0
734.90,716.61,780.74,672.39,842.96,0
743.55,718.95,799.03,657.14,869.04,0
738.27,702.72,793.04,633.17,859.94,0
668.34,635.20,727.52,552.53,789.68,0
550.56,520.83,583.84,419.84,624.89,0
373.87,347.84,382.87,267.87,408.83,0
229.30,215.48,234.00,163.23,250.18,0
140.47,136.60,144.59,103.35,150.41,0
91.00,91.61,93.87,69.48,96.42,0
66.14,67.17,66.92,51.32,69.21,0
50.29,51.31,52.14,41.13,52.85,0
41.55,42.56,44.18,35.09,43.84,0
129.50,126.44,143.06,98.88,149.58,0
334.13,321.06,362.49,254.32,385.25,0
539.90,518.49,548.48,390.67,579.25,0
723.30,705.44,711.53,494.82,690.53,0
844.84,838.62,826.26,577.14,722.55,0
809.30,809.40,803.67,562.73,697.90,0
764.93,765.46,805.02,568.60,740.26,0
840.74,841.26,888.44,710.07,847.47,0
925.73,925.76,950.39,857.06,928.29,0
970.56,970.34,982.71,933.77,970.70,0
994.44,993.84,999.58,973.80,992.84,0
973.67,958.06,990.94,920.59,976.90,0
902.35,873.17,923.08,761.81,884.91,0
895.25,872.61,904.15,731.78,862.72,0
951.79,938.30,957.63,847.11,935.05,0
984.16,976.88,986.73,929.05,974.23,0
1000.34,996.78,1001.92,971.58,995.64,0
1003.05,999.04,1005.54,965.33,1005.85,0
875.61,868.02,868.78,788.27,867.03,0
775.15,760.43,788.32,668.13,785.74,0
726.55,709.78,765.22,605.20,715.58,0
522.13,510.99,549.96,401.19,471.70,0
318.87,313.06,331.48,242.84,298.29,0
197.97,195.41,199.29,153.99,192.73,0
356.48,355.86,356.21,333.76,354.46,0
671.81,673.16,671.43,658.76,670.99,0
648.23,661.61,671.70,637.12,664.54,0
433.69,445.69,459.32,404.94,445.07,0
510.57,509.90,512.96,474.53,502.17,0
751.75,742.79,751.08,725.29,745.69,0
876.66,863.62,873.92,845.87,872.30,0
944.00,936.95,941.61,917.17,941.00,0
971.49,959.68,963.79,924.02,975.90,0
881.61,864.69,876.63,791.34,895.39,0
726.65,710.89,729.07,602.56,716.39,0
748.33,734.85,748.40,621.18,720.98,0
874.87,867.12,874.91,790.82,862.75,0
933.50,927.54,939.50,884.62,935.07,0
867.52,855.33,877.82,790.37,851.84,0
676.74,664.16,689.29,573.13,658.28,0
657.74,633.96,642.06,505.42,643.09,0
812.77,782.91,777.58,651.52,787.67,0
816.47,786.30,798.34,702.43,833.49,0
640.54,604.00,621.99,523.65,676.43,0
519.80,492.60,508.44,404.77,541.88,0
537.58,527.93,569.67,421.37,588.31,0
659.46,657.77,712.31,572.76,728.01,0
809.13,802.99,842.92,750.25,860.92,0
804.77,792.00,834.59,724.31,864.31,0
611.00,591.19,634.70,519.05,659.53,0
382.94,365.43,391.96,311.76,402.29,0
234.75,225.38,241.85,190.44,247.24,0
145.46,142.00,150.60,118.51,150.31,0
97.43,95.86,101.31,80.50,97.33,0
68.78,68.20,74.39,58.50,68.96,0
52.15,51.85,56.51,44.16,52.49,0
279.18,278.79,280.98,272.14,277.68,0
633.14,632.45,633.36,627.79,630.92,0
818.10,817.03,817.74,813.40,815.75,0
914.63,913.83,913.97,910.74,911.97,0
964.29,964.59,963.47,961.31,961.95,0
829.80,833.31,861.17,830.16,865.87,0
555.46,554.42,595.73,543.93,605.60,0
566.71,559.24,576.74,530.34,590.01,0
769.33,762.80,778.87,737.20,791.77,0
880.10,875.01,891.76,859.74,895.63,0
859.25,840.34,868.69,838.59,905.85,0
720.96,685.99,719.90,661.17,784.24,0
512.04,483.51,503.13,433.03,546.26,0
530.19,514.82,527.21,481.78,552.11,0
762.70,754.92,761.15,731.70,774.14,0
790.58,781.73,768.01,701.01,763.56,0
671.73,652.77,632.94,515.73,626.07,0
492.56,474.78,483.56,383.66,498.14,0
307.98,300.61,319.54,256.41,335.75,0
188.22,187.25,194.97,156.05,202.48,0
117.36,118.04,123.98,97.22,129.81,0
80.61,80.49,88.37,69.14,91.18,0
60.00,60.17,65.96,53.30,67.66,0
47.57,46.70,51.40,41.92,52.05,0
125.23,122.15,122.92,95.51,128.28,0
401.47,397.47,395.25,354.16,403.54,0
695.76,693.92,692.76,665.34,696.85,0
850.31,849.82,848.02,833.47,850.15,0
931.20,931.43,929.29,920.26,929.93,0
950.47,957.52,967.16,882.13,902.71,0
941.16,956.55,982.38,839.99,886.11,0
958.53,972.07,994.39,901.43,945.82,0
987.44,994.98,1005.20,956.93,980.09,0
1003.01,1006.71,1011.56,986.13,998.93,0
1010.89,1012.34,1014.40,1000.89,1008.29,0
953.33,962.70,985.52,917.51,943.61,0
922.57,936.54,970.69,873.52,910.57,0
968.20,975.73,993.31,941.40,963.13,0
992.49,995.70,1004.64,907.74,971.67,0
826.35,839.98,857.55,709.93,816.68,0
688.25,696.55,717.20,548.12,673.64,0
744.31,731.43,760.37,554.52,734.05,0
797.23,777.60,823.78,603.52,833.95,0
756.00,731.42,768.67,543.03,776.36,0
549.46,530.65,554.63,371.61,547.17,0
358.71,348.18,358.06,241.51,358.47,0
471.92,465.23,464.41,396.41,471.32,0
733.49,730.47,729.33,693.60,732.70,0
870.00,868.42,867.11,848.70,868.63,0
938.85,938.98,938.30,903.59,938.37,0
808.63,811.57,826.04,756.53,827.03,0
529.59,532.32,559.95,491.88,561.18,0
325.63,330.16,347.69,302.12,351.68,0
200.54,206.49,213.25,183.01,218.92,0
124.50,129.28,132.81,112.01,134.33,0
81.23,85.88,87.72,73.28,87.80,0
102.87,103.15,107.93,78.64,105.34,0
347.97,345.96,352.04,308.55,348.06,0
531.34,537.70,546.14,462.48,513.94,0
623.45,632.51,644.32,497.15,589.75,0
806.83,810.60,818.44,691.67,782.07,0
819.82,813.42,825.64,713.82,795.19,0
826.84,814.89,829.40,725.62,802.27,0
919.19,912.72,919.33,864.93,905.17,0
966.67,963.06,966.51,932.14,956.97,0
817.66,816.25,833.35,793.18,828.13,0
738.45,736.52,756.44,663.76,755.87,0
722.94,716.67,733.76,600.77,747.81,0
663.44,658.26,662.88,508.60,690.29,0
779.41,778.14,765.01,617.56,785.77,0
879.62,870.83,848.20,714.35,881.98,0
914.23,891.47,868.42,728.29,926.46,1
802.00,777.69,786.46,648.54,816.99,0
545.25,525.16,552.44,438.63,557.62,0
555.17,539.66,559.16,497.14,568.56,0
776.70,769.08,778.78,745.21,782.73,0
866.01,861.56,876.18,852.21,865.81,0
714.44,709.25,736.01,710.83,731.07,0
435.73,428.96,452.72,431.69,465.68,0
486.78,481.33,494.69,478.93,504.56,0
714.71,701.11,697.56,606.62,690.76,0
701.94,678.11,668.13,501.14,646.17,0
526.26,504.26,503.36,353.81,480.90,0
338.71,323.65,326.04,223.14,310.02,0
202.11,193.77,197.89,138.92,189.05,0
125.08,121.21,125.03,89.48,116.83,0
111.18,108.20,110.67,77.06,102.57,0
307.36,307.00,322.63,260.63,321.75,0
608.16,601.52,632.87,560.34,644.12,0
648.48,636.65,682.18,628.79,742.31,0
677.18,672.68,716.04,680.53,794.04,0
840.37,838.50,860.41,841.40,901.12,0
860.99,846.87,863.56,812.52,920.66,0
822.03,800.31,835.32,713.54,920.11,0
858.59,849.17,892.06,726.67,954.48,0
921.90,914.59,939.13,752.65,979.83,0
945.61,920.05,927.59,715.52,964.37,0
861.89,809.34,804.43,609.37,859.73,0
685.28,625.34,636.41,491.58,700.41,0
473.58,431.30,464.57,364.84,498.93,0
284.93,261.19,288.35,229.37,303.17,0
172.84,163.56,180.13,141.94,188.10,0
111.96,111.66,118.63,95.59,124.23,0
88.79,87.92,88.45,73.08,94.00,0
307.63,304.30,304.82,291.78,307.48,0
647.98,645.77,645.80,637.80,646.47,0
810.79,812.74,822.56,786.59,813.35,0
889.54,882.19,914.81,857.79,900.20,0
943.31,926.80,963.91,927.93,955.56,0
816.70,794.22,820.04,796.00,831.22,0
547.66,524.46,539.13,512.48,569.83,0
340.08,332.99,337.78,311.92,363.60,0
435.43,430.29,435.90,384.63,451.53,0
713.01,705.79,711.34,649.68,720.45,0
853.81,851.95,857.72,824.11,861.76,0
893.82,880.90,899.69,823.58,872.63,0
744.50,731.78,764.77,637.32,713.36,0
552.77,560.72,591.80,440.66,523.61,0
628.66,639.98,658.35,524.49,589.78,0
815.29,809.96,812.38,725.54,793.32,0
738.65,735.39,738.33,670.30,784.56,0
487.09,491.37,506.76,458.35,570.34,0
299.39,298.99,314.20,279.37,348.57,0
183.74,182.57,193.86,170.42,211.32,0
120.75,119.67,129.86,110.46,132.52,0
83.10,85.16,93.59,76.05,89.24,0
237.24,219.67,225.75,188.62,233.75,0
551.97,524.15,528.27,483.32,543.21,0
745.14,716.28,741.14,700.71,769.26,0
658.53,643.47,691.35,624.59,710.33,0
576.76,580.37,624.49,513.15,611.20,0
721.98,720.76,750.24,644.32,736.13,0
863.51,863.11,872.76,794.29,865.16,0
934.98,932.15,936.70,863.24,931.78,0
972.52,968.65,975.33,916.91,971.33,0
979.68,963.32,993.10,952.34,992.93,0
799.83,772.64,818.30,789.86,832.55,0
502.04,481.16,509.77,486.08,532.75,0
304.32,290.79,303.58,289.06,318.20,0
192.05,187.38,189.51,179.54,203.12,0
330.20,329.44,330.55,291.88,361.32,0
629.40,629.01,630.30,570.92,663.09,0
810.42,813.32,815.43,751.44,830.15,0
849.18,836.59,855.38,742.63,855.42,0
829.25,801.89,857.83,730.37,868.13,0
874.55,855.73,915.52,833.47,936.44,0
943.38,932.83,964.28,920.26,974.72,0
939.37,934.59,981.12,917.27,990.63,0
891.86,896.54,964.09,818.65,977.18,0
907.70,915.88,964.05,815.71,974.46,0
961.16,964.95,989.84,911.23,994.80,0
983.07,985.53,1000.68,952.72,1005.18,0
902.72,911.41,951.82,887.11,949.63,0
676.23,685.30,742.97,663.54,744.70,0
432.04,436.06,470.94,408.45,481.16,0
265.88,270.84,291.91,244.00,294.14,0
171.75,175.06,191.55,154.83,188.65,0
350.44,351.93,361.50,309.34,358.55,0
669.13,670.39,674.66,619.95,672.89,0
834.98,832.04,836.67,800.22,837.41,0
769.01,778.71,779.93,707.60,770.76,0
544.05,550.55,552.86,463.48,535.88,0
354.22,343.50,352.12,290.89,340.63,0
438.98,437.45,446.01,348.08,429.73,0
708.17,711.91,718.29,609.33,701.67,0
855.82,857.78,861.59,804.24,854.11,0
794.95,823.70,840.03,752.25,769.43,0
651.54,667.02,680.33,547.50,552.16,0
714.39,695.70,693.32,594.12,602.52,0
859.79,850.75,848.55,796.30,800.45,0
931.61,913.74,895.62,859.99,903.27,0
791.23,761.35,762.65,729.47,842.66,0
500.43,474.07,512.05,486.36,606.63,0
303.00,290.44,323.17,301.88,387.12,0
189.45,190.78,210.01,191.73,251.04,0
